串型,导线型号,档距,初应力,高差,绝缘子串长度,绝缘子串夹角,冰厚,脱冰率,跳跃高度
A,400/50,500,33.37,0,7.23,0,0.03,1,2.74245
A,400/50,500,33.37,0,7.23,0,0.06,1,6.23959
A,400/50,500,33.37,0,7.23,0,0.09,1,10.45893
A,400/50,500,33.37,0,7.23,0,0.12,1,15.32015
A,400/50,500,33.37,0,7.23,0,0.15,1,20.7075
A,400/50,500,33.37,0,7.23,0,0.18,1,26.45826
A,400/50,500,33.37,0,7.23,0,0.21,1,32.59425
A,400/50,500,33.37,0,7.23,0,0.24,1,38.88524
A,400/50,500,33.37,0,7.23,0,0.27,1,44.29594
A,400/50,500,33.37,0,7.23,0,0.3,1,47.46998
A,400/50,500,33.37,0,7.23,0,0.06,0.8,4.93071
A,400/50,500,33.37,0,7.23,0,0.09,0.8,8.18389
A,400/50,500,33.37,0,7.23,0,0.12,0.8,11.82179
A,400/50,500,33.37,0,7.23,0,0.15,0.8,15.90475
A,400/50,500,33.37,0,7.23,0,0.18,0.8,20.15314
A,400/50,500,33.37,0,7.23,0,0.21,0.8,24.21166
A,400/50,500,33.37,0,7.23,0,0.24,0.8,27.69936
A,400/50,500,33.37,0,7.23,0,0.27,0.8,30.28551
A,400/50,500,33.37,0,7.23,0,0.3,0.8,31.52947
A,400/50,500,33.37,0,7.23,0,0.03,0.9,2.46198
A,400/50,500,33.37,0,7.23,0,0.06,0.9,5.58368
A,400/50,500,33.37,0,7.23,0,0.09,0.9,9.31907
A,400/50,500,33.37,0,7.23,0,0.12,0.9,13.56647
A,400/50,500,33.37,0,7.23,0,0.15,0.9,18.17451
A,400/50,500,33.37,0,7.23,0,0.18,0.9,23.30025
A,400/50,500,33.37,0,7.23,0,0.21,0.9,28.45803
A,400/50,500,33.37,0,7.23,0,0.24,0.9,33.17202
A,400/50,500,33.37,0,7.23,0,0.27,0.9,36.81548
A,400/50,500,33.37,0,7.23,0,0.3,0.9,38.72179
A,400/50,500,33.37,0,7.23,0,0.03,0.7,1.904
A,400/50,500,33.37,0,7.23,0,0.06,0.7,4.28273
A,400/50,500,33.37,0,7.23,0,0.09,0.7,7.06311
A,400/50,500,33.37,0,7.23,0,0.12,0.7,10.19287
A,400/50,500,33.37,0,7.23,0,0.15,0.7,13.62326
A,400/50,500,33.37,0,7.23,0,0.18,0.7,17.03839
A,400/50,500,33.37,0,7.23,0,0.21,0.7,20.16734
A,400/50,500,33.37,0,7.23,0,0.24,0.7,22.86679
A,400/50,500,33.37,0,7.23,0,0.27,0.7,24.74633
A,400/50,500,33.37,0,7.23,0,0.3,0.7,25.52089
A,400/50,500,31.12,0,7.23,0,0.02,0.73,1.37126
A,400/50,500,31.12,0,7.23,0,0.05,0.73,3.83792
A,400/50,500,31.12,0,7.23,0,0.08,0.73,6.74757
A,400/50,500,31.12,0,7.23,0,0.11,0.73,10.08124
A,400/50,500,31.12,0,7.23,0,0.14,0.73,13.71371
A,400/50,500,31.12,0,7.23,0,0.17,0.73,17.35354
A,400/50,500,31.12,0,7.23,0,0.2,0.73,20.70751
A,400/50,500,31.12,0,7.23,0,0.23,0.73,23.59851
A,400/50,500,31.12,0,7.23,0,0.26,0.73,25.56008
A,400/50,500,31.12,0,7.23,0,0.29,0.73,26.3348
A,400/50,500,31.12,0,7.23,0,0.02,0.82,1.54259
A,400/50,500,31.12,0,7.23,0,0.05,0.82,4.3382
A,400/50,500,31.12,0,7.23,0,0.08,0.82,7.67295
A,400/50,500,31.12,0,7.23,0,0.11,0.82,11.45346
A,400/50,500,31.12,0,7.23,0,0.14,0.82,15.71806
A,400/50,500,31.12,0,7.23,0,0.17,0.82,20.11931
A,400/50,500,31.12,0,7.23,0,0.2,0.82,24.32619
A,400/50,500,31.12,0,7.23,0,0.23,0.82,27.93077
A,400/50,500,31.12,0,7.23,0,0.26,0.82,30.54173
A,400/50,500,31.12,0,7.23,0,0.29,0.82,31.77189
A,400/50,500,31.12,0,7.23,0,0.02,0.91,1.71452
A,400/50,500,31.12,0,7.23,0,0.05,0.91,4.84288
A,400/50,500,31.12,0,7.23,0,0.08,0.91,8.61231
A,400/50,500,31.12,0,7.23,0,0.11,0.91,12.91596
A,400/50,500,31.12,0,7.23,0,0.14,0.91,17.72329
A,400/50,500,31.12,0,7.23,0,0.17,0.91,22.94055
