档距,初应力,高差,绝缘子串长度,绝缘子串夹角,冰厚,脱冰率,串型,导线型号,跳跃高度
0.4,0.421182266,0,0,0,0.035714286,1,A,400/50,0.027558144
0.4,0.421182266,0,0,0,0.142857143,1,A,400/50,0.096289202
0.4,0.421182266,0,0,0,0.25,1,A,400/50,0.179214021
0.4,0.421182266,0,0,0,0.357142857,1,A,400/50,0.274754031
0.4,0.421182266,0,0,0,0.464285714,1,A,400/50,0.38063434
0.4,0.421182266,0,0,0,0.571428571,1,A,400/50,0.49365693
0.4,0.421182266,0,0,0,0.678571429,1,A,400/50,0.614250638
0.4,0.421182266,0,0,0,0.785714286,1,A,400/50,0.73789064
0.4,0.421182266,0,0,0,0.892857143,1,A,400/50,0.844229859
0.4,0.421182266,0,0,0,1,1,A,400/50,0.906610869
0.4,0.421182266,0,0,0,0.142857143,0.333333333,A,400/50,0.070565123
0.4,0.421182266,0,0,0,0.25,0.333333333,A,400/50,0.134501511
0.4,0.421182266,0,0,0,0.357142857,0.333333333,A,400/50,0.205998996
0.4,0.421182266,0,0,0,0.464285714,0.333333333,A,400/50,0.28624347
0.4,0.421182266,0,0,0,0.571428571,0.333333333,A,400/50,0.369739224
0.4,0.421182266,0,0,0,0.678571429,0.333333333,A,400/50,0.449503366
0.4,0.421182266,0,0,0,0.785714286,0.333333333,A,400/50,0.518048894
0.4,0.421182266,0,0,0,0.892857143,0.333333333,A,400/50,0.568875806
0.4,0.421182266,0,0,0,1,0.333333333,A,400/50,0.59332398
0.4,0.421182266,0,0,0,0.035714286,0.666666667,A,400/50,0.022045926
0.4,0.421182266,0,0,0,0.142857143,0.666666667,A,400/50,0.083398272
0.4,0.421182266,0,0,0,0.25,0.666666667,A,400/50,0.156811777
0.4,0.421182266,0,0,0,0.357142857,0.666666667,A,400/50,0.240288073
0.4,0.421182266,0,0,0,0.464285714,0.666666667,A,400/50,0.330852209
0.4,0.421182266,0,0,0,0.571428571,0.666666667,A,400/50,0.431590965
0.4,0.421182266,0,0,0,0.678571429,0.666666667,A,400/50,0.532959419
0.4,0.421182266,0,0,0,0.785714286,0.666666667,A,400/50,0.625605844
0.4,0.421182266,0,0,0,0.892857143,0.666666667,A,400/50,0.697212602
0.4,0.421182266,0,0,0,1,0.666666667,A,400/50,0.734678275
0.4,0.421182266,0,0,0,0.035714286,0,A,400/50,0.011079663
0.4,0.421182266,0,0,0,0.142857143,0,A,400/50,0.057830045
0.4,0.421182266,0,0,0,0.25,0,A,400/50,0.112474256
0.4,0.421182266,0,0,0,0.357142857,0,A,400/50,0.173985009
0.4,0.421182266,0,0,0,0.464285714,0,A,400/50,0.241404196
0.4,0.421182266,0,0,0,0.571428571,0,A,400/50,0.30852347
0.4,0.421182266,0,0,0,0.678571429,0,A,400/50,0.370018303
0.4,0.421182266,0,0,0,0.785714286,0,A,400/50,0.423071957
0.4,0.421182266,0,0,0,0.892857143,0,A,400/50,0.460011505
0.4,0.421182266,0,0,0,1,0,A,400/50,0.475234324
0.4,0.236453202,0,0,0,0,0.1,A,400/50,0.000609455
0.4,0.236453202,0,0,0,0.107142857,0.1,A,400/50,0.049087969
0.4,0.236453202,0,0,0,0.214285714,0.1,A,400/50,0.106272789
0.4,0.236453202,0,0,0,0.321428571,0.1,A,400/50,0.171791089
0.4,0.236453202,0,0,0,0.428571429,0.1,A,400/50,0.243181855
0.4,0.236453202,0,0,0,0.535714286,0.1,A,400/50,0.314717272
0.4,0.236453202,0,0,0,0.642857143,0.1,A,400/50,0.380634537
0.4,0.236453202,0,0,0,0.75,0.1,A,400/50,0.437452819
0.4,0.236453202,0,0,0,0.857142857,0.1,A,400/50,0.476004545
0.4,0.236453202,0,0,0,0.964285714,0.1,A,400/50,0.491230508
0.4,0.236453202,0,0,0,0,0.4,A,400/50,0.00397669
0.4,0.236453202,0,0,0,0.107142857,0.4,A,400/50,0.058920225
