 
 SAP2000 v21.0.2 File: 1  N, m, C Units  PAGE 1
 m/d/yy h:mm:ss
 
 Computers and Structures, Inc.
 
 
 T I M E   H I S T O R Y   D A T A 
 
 CASE  ELCENTRO-P
 FUNCTION  Joint1:  Joint 1  Displacement  UX    
 FUNCTION  Link4-1:  Link 4 at End-I  Shear 2-2    
 
       TIME    FUNCTION    FUNCTION
                 Joint1     Link4-1
         0.          0.          0.
       0.02   2.668E-06     0.06633
       0.04   1.136E-05     0.28235
       0.06   2.715E-05     0.67509
       0.08   5.520E-05     1.37229
        0.1   1.049E-04     2.60705
       0.12   1.799E-04     4.47316
       0.14   2.732E-04     6.79195
       0.16   3.720E-04     9.24977
       0.18   4.706E-04    11.69909
        0.2   5.761E-04    14.32218
       0.22   7.024E-04    17.46291
       0.24   8.549E-04    21.25331
       0.26     0.00102    25.40887
       0.28     0.00119     29.6145
        0.3     0.00136    33.81157
       0.32     0.00153    37.92555
       0.34     0.00169    41.90083
       0.36     0.00185    45.91033
       0.38     0.00202    50.23909
        0.4     0.00222    55.16797
       0.42     0.00243    60.52024
       0.44     0.00262    65.21481
       0.46     0.00275    68.36392
       0.48     0.00283    70.36026
        0.5      0.0029    71.99603
       0.52     0.00297    73.77145
       0.54     0.00307    76.31503
       0.56     0.00324    80.43003
       0.58     0.00348    86.43285
        0.6     0.00377    93.68529
       0.62     0.00408   101.33626
       0.64     0.00439    109.0575
       0.66      0.0047    116.7822
       0.68       0.005    124.1999
        0.7     0.00525   130.51572
       0.72     0.00542   134.70428
       0.74     0.00547   135.99179
       0.76     0.00538   133.68012
       0.78     0.00511   127.16086
        0.8      0.0047   116.74294
       0.82     0.00415   103.21324
       0.84      0.0035    86.99106
       0.86     0.00275    68.31873
       0.88     0.00191    47.45143
        0.9   9.807E-04    24.38289
       0.92  -5.732E-05    -1.42498
       0.94    -0.00124   -30.76184
       0.96    -0.00259   -64.38955
       0.98    -0.00412  -102.55142
         1.    -0.00581  -144.48917
       1.02     -0.0076  -188.94344
       1.04    -0.00945   -234.9025
       1.06    -0.01134  -281.85639
       1.08    -0.01324  -329.19406
        1.1    -0.01511  -375.60599
       1.12    -0.01687   -419.4512
       1.14    -0.01847  -459.12331
       1.16    -0.01983  -493.06054
       1.18    -0.02091  -519.75524
        1.2    -0.02163  -537.76291
       1.22      -0.022  -546.84568
       1.24    -0.02209  -549.09787
       1.26    -0.02203  -547.77707
       1.28    -0.02197  -546.13842
        1.3    -0.02202   -547.4135
       1.32    -0.02231  -554.78966
       1.34    -0.02292  -569.81566
       1.36    -0.02376  -590.83157
