
 ** MIDAS/Civil Time-history Output Data ** 
_____________________________________________


 节点 =     2        位移 时程       单位体系 ..: m, N
----------------------------------- 

  TIME        DX           DY           DZ           RX           RY           RZ 
-------  -----------  -----------  -----------  -----------  -----------  ----------- 
  0.020   6.855e-006   0.000e+000   0.000e+000   0.000e+000   3.407e-006   0.000e+000
  0.040   2.375e-005   0.000e+000   0.000e+000   0.000e+000   1.181e-005   0.000e+000
  0.060   4.746e-005   0.000e+000   0.000e+000   0.000e+000   2.359e-005   0.000e+000
  0.080   8.295e-005   0.000e+000   0.000e+000   0.000e+000   4.123e-005   0.000e+000
  0.100   1.393e-004   0.000e+000   0.000e+000   0.000e+000   6.923e-005   0.000e+000
  0.120   2.205e-004   0.000e+000   0.000e+000   0.000e+000   1.096e-004   0.000e+000
  0.140   3.204e-004   0.000e+000   0.000e+000   0.000e+000   1.593e-004   0.000e+000
  0.160   4.279e-004   0.000e+000   0.000e+000   0.000e+000   2.127e-004   0.000e+000
  0.180   5.378e-004   0.000e+000   0.000e+000   0.000e+000   2.673e-004   0.000e+000
  0.200   6.578e-004   0.000e+000   0.000e+000   0.000e+000   3.269e-004   0.000e+000
  0.220   8.014e-004   0.000e+000   0.000e+000   0.000e+000   3.983e-004   0.000e+000
  0.240   9.745e-004   0.000e+000   0.000e+000   0.000e+000   4.843e-004   0.000e+000
  0.260   1.167e-003   0.000e+000   0.000e+000   0.000e+000   5.802e-004   0.000e+000
  0.280   1.369e-003   0.000e+000   0.000e+000   0.000e+000   6.805e-004   0.000e+000
  0.300   1.579e-003   0.000e+000   0.000e+000   0.000e+000   7.846e-004   0.000e+000
  0.320   1.794e-003   0.000e+000   0.000e+000   0.000e+000   8.915e-004   0.000e+000
  0.340   2.013e-003   0.000e+000   0.000e+000   0.000e+000   1.001e-003   0.000e+000
  0.360   2.245e-003   0.000e+000   0.000e+000   0.000e+000   1.116e-003   0.000e+000
  0.380   2.500e-003   0.000e+000   0.000e+000   0.000e+000   1.242e-003   0.000e+000
  0.400   2.790e-003   0.000e+000   0.000e+000   0.000e+000   1.387e-003   0.000e+000
  0.420   3.109e-003   0.000e+000   0.000e+000   0.000e+000   1.545e-003   0.000e+000
  0.440   3.419e-003   0.000e+000   0.000e+000   0.000e+000   1.699e-003   0.000e+000
  0.460   3.685e-003   0.000e+000   0.000e+000   0.000e+000   1.832e-003   0.000e+000
  0.480   3.924e-003   0.000e+000   0.000e+000   0.000e+000   1.950e-003   0.000e+000
  0.500   4.164e-003   0.000e+000   0.000e+000   0.000e+000   2.070e-003   0.000e+000
  0.520   4.426e-003   0.000e+000   0.000e+000   0.000e+000   2.200e-003   0.000e+000
  0.540   4.732e-003   0.000e+000   0.000e+000   0.000e+000   2.352e-003   0.000e+000
  0.560   5.114e-003   0.000e+000   0.000e+000   0.000e+000   2.542e-003   0.000e+000
  0.580   5.585e-003   0.000e+000   0.000e+000   0.000e+000   2.776e-003   0.000e+000
  0.600   6.123e-003   0.000e+000   0.000e+000   0.000e+000   3.043e-003   0.000e+000
  0.620   6.697e-003   0.000e+000   0.000e+000   0.000e+000   3.329e-003   0.000e+000
  0.640   7.296e-003   0.000e+000   0.000e+000   0.000e+000   3.626e-003   0.000e+000
  0.660   7.919e-003   0.000e+000   0.000e+000   0.000e+000   3.936e-003   0.000e+000
  0.680   8.557e-003   0.000e+000   0.000e+000   0.000e+000   4.253e-003   0.000e+000
  0.700   9.179e-003   0.000e+000   0.000e+000   0.000e+000   4.562e-003   0.000e+000
  0.720   9.748e-003   0.000e+000   0.000e+000   0.000e+000   4.845e-003   0.000e+000
  0.740   1.024e-002   0.000e+000   0.000e+000   0.000e+000   5.087e-003   0.000e+000
  0.760   1.061e-002   0.000e+000   0.000e+000   0.000e+000   5.275e-003   0.000e+000
  0.780   1.086e-002   0.000e+000   0.000e+000   0.000e+000   5.395e-003   0.000e+000
  0.800   1.097e-002   0.000e+000   0.000e+000   0.000e+000   5.453e-003   0.000e+000
  0.820   1.099e-002   0.000e+000   0.000e+000   0.000e+000   5.461e-003   0.000e+000
  0.840   1.091e-002   0.000e+000   0.000e+000   0.000e+000   5.424e-003   0.000e+000
  0.860   1.075e-002   0.000e+000   0.000e+000   0.000e+000   5.345e-003   0.000e+000
