
 ** MIDAS/Civil Beam Element Time-history Output Data ** 
___________________________________________________________


 单元=     2 梁单元     内力 时程 (局部)      单位体系 ..: m, N
--------------------------------------------- 

  TIME        AXIAL       SHEAR-y      SHEAR-z      TORSION      MOMENT-y     MOMENT-z 
------- -  -----------  -----------  -----------  -----------  -----------  ----------- 
  0.020 I  -0.000e+000   0.000e+000  -8.402e-002  -0.000e+000  -1.633e-001  -0.000e+000
        J   0.000e+000  -0.000e+000  -8.402e-002   0.000e+000   8.881e-002   0.000e+000
  0.040 I  -0.000e+000   0.000e+000  -2.900e-001  -0.000e+000  -5.637e-001  -0.000e+000
        J   0.000e+000  -0.000e+000  -2.900e-001   0.000e+000   3.062e-001   0.000e+000
  0.060 I  -0.000e+000   0.000e+000  -5.761e-001  -0.000e+000  -1.121e+000  -0.000e+000
        J   0.000e+000  -0.000e+000  -5.761e-001   0.000e+000   6.077e-001   0.000e+000
  0.080 I  -0.000e+000   0.000e+000  -1.001e+000  -0.000e+000  -1.949e+000  -0.000e+000
        J   0.000e+000  -0.000e+000  -1.001e+000   0.000e+000   1.055e+000   0.000e+000
  0.100 I  -0.000e+000   0.000e+000  -1.672e+000  -0.000e+000  -3.258e+000  -0.000e+000
        J   0.000e+000  -0.000e+000  -1.672e+000   0.000e+000   1.760e+000   0.000e+000
  0.120 I  -0.000e+000   0.000e+000  -2.633e+000  -0.000e+000  -5.133e+000  -0.000e+000
        J   0.000e+000  -0.000e+000  -2.633e+000   0.000e+000   2.767e+000   0.000e+000
  0.140 I  -0.000e+000   0.000e+000  -3.800e+000  -0.000e+000  -7.414e+000  -0.000e+000
        J   0.000e+000  -0.000e+000  -3.800e+000   0.000e+000   3.987e+000   0.000e+000
  0.160 I  -0.000e+000   0.000e+000  -5.027e+000  -0.000e+000  -9.819e+000  -0.000e+000
        J   0.000e+000  -0.000e+000  -5.027e+000   0.000e+000   5.262e+000   0.000e+000
  0.180 I  -0.000e+000   0.000e+000  -6.245e+000  -0.000e+000  -1.222e+001  -0.000e+000
        J   0.000e+000  -0.000e+000  -6.245e+000   0.000e+000   6.518e+000   0.000e+000
  0.200 I  -0.000e+000   0.000e+000  -7.537e+000  -0.000e+000  -1.477e+001  -0.000e+000
        J   0.000e+000  -0.000e+000  -7.537e+000   0.000e+000   7.842e+000   0.000e+000
  0.220 I  -0.000e+000   0.000e+000  -9.064e+000  -0.000e+000  -1.779e+001  -0.000e+000
        J   0.000e+000  -0.000e+000  -9.064e+000   0.000e+000   9.399e+000   0.000e+000
  0.240 I  -0.000e+000   0.000e+000  -1.088e+001  -0.000e+000  -2.140e+001  -0.000e+000
        J   0.000e+000  -0.000e+000  -1.088e+001   0.000e+000   1.125e+001   0.000e+000
  0.260 I  -0.000e+000   0.000e+000  -1.287e+001  -0.000e+000  -2.534e+001  -0.000e+000
        J   0.000e+000  -0.000e+000  -1.287e+001   0.000e+000   1.325e+001   0.000e+000
  0.280 I  -0.000e+000   0.000e+000  -1.486e+001  -0.000e+000  -2.934e+001  -0.000e+000
        J   0.000e+000  -0.000e+000  -1.486e+001   0.000e+000   1.525e+001   0.000e+000
  0.300 I  -0.000e+000   0.000e+000  -1.684e+001  -0.000e+000  -3.333e+001  -0.000e+000
        J   0.000e+000  -0.000e+000  -1.684e+001   0.000e+000   1.721e+001   0.000e+000
  0.320 I  -0.000e+000   0.000e+000  -1.878e+001  -0.000e+000  -3.726e+001  -0.000e+000
        J   0.000e+000  -0.000e+000  -1.878e+001   0.000e+000   1.908e+001   0.000e+000
  0.340 I  -0.000e+000   0.000e+000  -2.064e+001  -0.000e+000  -4.106e+001  -0.000e+000
        J   0.000e+000  -0.000e+000  -2.064e+001   0.000e+000   2.084e+001   0.000e+000
  0.360 I  -0.000e+000   0.000e+000  -2.249e+001  -0.000e+000  -4.491e+001  -0.000e+000
        J   0.000e+000  -0.000e+000  -2.249e+001   0.000e+000   2.257e+001   0.000e+000
  0.380 I  -0.000e+000   0.000e+000  -2.449e+001  -0.000e+000  -4.906e+001  -0.000e+000
        J   0.000e+000  -0.000e+000  -2.449e+001   0.000e+000   2.441e+001   0.000e+000
  0.400 I  -0.000e+000   0.000e+000  -2.674e+001  -0.000e+000  -5.375e+001  -0.000e+000
